time_range,city,outdoor_temperature,outdoor_humidity,outdoor_wind_speed,outdoor_pm2_5,outdoor_pm10,outdoor_co,outdoor_no2,outdoor_o3,indoor_humidity,indoor_temperature
"2024-11-27 [01:30, 01:45)",London,6.1,93,10.8,23.31,32.19,401.45,89.17,14.0,36,23
"2024-11-27 [01:45, 02:00)",London,6.3,93,10.8,23.31,32.19,401.45,89.17,14.0,36,23
"2024-11-27 [02:00, 02:15)",London,6.1,93,16.9,17.575,22.015,344.1,52.54,25.0,36,23
"2024-11-27 [02:30, 02:45)",London,6.3,93,16.9,17.575,22.015,344.1,52.54,25.0,36,23
"2024-11-27 [02:45, 03:00)",London,6.3,93,16.9,17.575,22.015,344.1,52.54,25.0,36,23
"2024-11-27 [03:00, 03:15)",London,6.1,93,21.6,12.95,13.69,312.65,35.89,44.0,36,23
"2024-11-27 [03:15, 03:30)",London,7.1,93,21.6,12.95,13.69,312.65,35.89,44.0,36,23
"2024-11-27 [03:30, 03:45)",London,7.3,93,21.6,12.95,13.69,312.65,35.89,44.0,36,23
"2024-11-27 [03:45, 04:00)",London,7.3,93,21.6,12.95,13.69,312.65,35.89,44.0,36,23
"2024-11-27 [04:00, 04:15)",London,7.2,93,21.2,7.4,8.325,299.7,28.675,45.0,36,23
"2024-11-27 [04:15, 04:30)",London,7.4,100,21.2,7.4,8.325,299.7,28.675,45.0,36,23
"2024-11-27 [05:00, 05:15)",London,8.1,93,14.4,5.365,6.105,303.4,27.565,46.0,36,23
"2024-11-27 [05:15, 05:30)",London,7.2,93,14.4,5.365,6.105,303.4,27.565,46.0,37,23
"2024-11-27 [05:30, 05:45)",London,7.3,93,14.4,5.365,6.105,303.4,27.565,46.0,37,23
"2024-11-27 [05:45, 06:00)",London,7.1,100,14.4,5.365,6.105,303.4,27.565,46.0,37,23
"2024-11-27 [06:00, 06:15)",London,7.1,100,3.6,5.365,6.475,297.85,35.15,40.0,37,23
"2024-11-27 [06:15, 06:30)",London,7.3,100,4.0,5.365,6.475,297.85,35.15,40.0,37,23
"2024-11-27 [06:30, 06:45)",London,7.3,100,4.0,5.365,6.475,297.85,35.15,40.0,37,23
"2024-11-27 [06:45, 07:00)",London,7.1,100,4.0,5.365,6.475,297.85,35.15,40.0,37,23
"2024-11-27 [07:00, 07:15)",London,7.0,100,12.6,7.03,9.435,325.6,67.525,23.0,37,23
"2024-11-27 [07:30, 07:45)",London,7.0,93,12.6,7.03,9.435,325.6,67.525,23.0,37,23
"2024-11-27 [07:45, 08:00)",London,7.2,93,12.6,7.03,9.435,325.6,67.525,23.0,37,23
"2024-11-27 [08:00, 08:15)",London,7.0,93,16.2,7.215,8.695,336.7,60.125,31.0,37,23
"2024-11-27 [08:30, 08:45)",London,6.3,100,16.2,7.215,8.695,336.7,60.125,31.0,37,24
"2024-11-27 [09:00, 09:15)",London,6.3,100,17.3,4.625,5.735,299.7,42.92,50.0,37,24
"2024-11-27 [09:15, 09:30)",London,6.2,100,17.3,4.625,5.735,299.7,42.92,50.0,37,24
"2024-11-27 [09:30, 09:45)",London,6.3,93,17.3,4.625,5.735,299.7,42.92,50.0,37,24
"2024-11-27 [09:45, 10:00)",London,6.3,93,17.3,4.625,5.735,299.7,42.92,50.0,37,24
"2024-11-27 [10:00, 10:15)",London,6.1,93,19.1,5.18,5.735,305.25,28.12,57.0,37,24
"2024-11-27 [10:15, 10:30)",London,6.3,93,19.1,5.18,5.735,305.25,28.12,57.0,37,24
"2024-11-27 [10:30, 10:45)",London,6.1,93,19.1,5.18,5.735,305.25,28.12,57.0,36,24
"2024-11-27 [10:45, 11:00)",London,6.0,93,19.1,5.18,5.735,305.25,28.12,57.0,36,24
"2024-11-27 [11:00, 11:15)",London,6.3,93,21.2,4.255,6.105,312.65,23.31,61.0,36,24
"2024-11-27 [11:30, 11:45)",London,6.3,87,21.2,4.255,6.105,312.65,23.31,61.0,36,24
"2024-11-27 [11:45, 12:00)",London,6.0,87,22.0,6.845,9.62,310.8,46.99,47.0,35,24
"2024-11-27 [12:00, 12:15)",London,6.1,87,22.7,4.81,8.51,296.0,32.005,59.0,35,24
"2024-11-27 [12:15, 12:30)",London,6.1,87,22.7,4.81,8.51,296.0,32.005,59.0,35,24
"2024-11-27 [12:30, 12:45)",London,6.1,87,22.7,4.81,8.51,296.0,32.005,59.0,35,24
"2024-11-27 [13:00, 13:15)",London,6.3,87,20.2,6.29,8.325,308.95,29.6,61.0,35,24
"2024-11-27 [13:45, 14:00)",London,6.2,81,20.2,6.29,8.325,308.95,29.6,61.0,35,24
"2024-11-27 [14:00, 14:15)",London,6.3,81,20.2,6.845,9.25,321.9,31.265,59.0,35,24
"2024-11-27 [14:15, 14:30)",London,6.3,87,20.2,6.845,9.25,321.9,31.265,59.0,34,24
"2024-11-27 [14:30, 14:45)",London,6.0,87,20.2,6.845,9.25,321.9,31.265,59.0,34,24
"2024-11-27 [14:45, 15:00)",London,6.3,87,20.2,6.845,9.25,321.9,31.265,59.0,34,24
"2024-11-27 [15:00, 15:15)",London,6.2,87,17.6,9.99,12.765,338.55,41.625,49.0,35,24
"2024-11-27 [15:15, 15:30)",London,6.3,81,17.6,9.99,12.765,338.55,41.625,49.0,35,25
"2024-11-27 [15:30, 15:45)",London,6.1,81,17.6,9.99,12.765,338.55,41.625,49.0,35,25
"2024-11-27 [15:45, 16:00)",London,6.3,81,17.6,9.99,12.765,338.55,41.625,49.0,34,25
"2024-11-27 [16:00, 16:15)",London,6.3,81,14.8,12.395,16.835,375.55,54.02,36.0,34,26
"2024-11-27 [16:45, 17:00)",London,4.2,87,14.8,12.395,16.835,375.55,54.02,36.0,32,26
"2024-11-27 [16:30, 16:45)",London,4.2,87,14.8,12.395,16.835,375.55,54.02,36.0,33,26
"2024-11-27 [17:00, 17:15)",London,4.2,87,13.0,15.54,18.685,386.65,70.67,23.0,32,26
"2024-11-27 [17:15, 17:30)",London,4.1,87,13.0,15.54,18.685,386.65,70.67,23.0,32,26
"2024-11-27 [17:30, 17:45)",London,3.3,87,13.0,15.54,18.685,386.65,70.67,23.0,31,26
"2024-11-27 [17:45, 18:00)",London,3.0,87,13.0,15.54,18.685,386.65,70.67,23.0,31,27
"2024-11-27 [18:00, 18:15)",London,3.0,87,11.9,17.76,20.905,403.3,83.065,16.0,31,27
"2024-11-27 [18:15, 18:30)",London,4.3,87,13.0,17.76,20.905,403.3,83.065,16.0,31,27
"2024-11-27 [18:30, 18:45)",London,4.3,87,13.0,17.76,20.905,403.3,83.065,16.0,31,26
"2024-11-27 [18:45, 19:00)",London,4.1,87,13.0,17.76,20.905,403.3,83.065,16.0,31,26
"2024-11-27 [19:00, 19:15)",London,4.2,87,13.3,17.205,23.495,386.65,82.695,17.0,31,26
"2024-11-27 [19:30, 19:45)",London,3.0,93,13.3,17.205,23.495,386.65,82.695,17.0,32,27
"2024-11-27 [19:45, 20:00)",London,3.3,93,13.3,17.205,23.495,386.65,82.695,17.0,33,26
"2024-11-27 [20:00, 20:15)",London,3.1,93,11.2,19.055,25.16,386.65,76.035,29.0,33,26
"2024-11-27 [20:15, 20:30)",London,3.1,93,11.2,19.055,25.16,386.65,76.035,29.0,29,24
"2024-11-27 [20:30, 20:45)",London,2.4,93,11.2,19.055,25.16,386.65,76.035,29.0,28,23
"2024-11-27 [20:45, 21:00)",London,2.3,93,11.2,19.055,25.16,386.65,76.035,29.0,28,23
"2024-11-27 [21:00, 21:15)",London,2.2,93,9.4,22.94,27.565,405.15,85.47,22.0,29,22
"2024-11-27 [21:15, 21:30)",London,2.4,93,9.4,22.94,27.565,405.15,85.47,22.0,30,21
"2024-11-27 [21:30, 21:45)",London,2.2,93,9.4,22.94,27.565,405.15,85.47,22.0,30,22
"2024-11-27 [21:45, 22:00)",London,2.2,93,9.4,22.94,27.565,405.15,85.47,22.0,30,24
"2024-11-27 [22:00, 22:15)",London,2.0,93,7.9,27.195,33.3,421.8,88.985,15.0,30,25
"2024-11-27 [22:15, 22:30)",London,2.3,100,7.9,27.195,33.3,421.8,88.985,15.0,30,25
"2024-11-27 [22:30, 22:45)",London,1.3,93,7.9,27.195,33.3,421.8,88.985,15.0,30,25
"2024-11-27 [22:45, 23:00)",London,1.2,93,7.9,27.195,33.3,421.8,88.985,15.0,30,26
"2024-11-27 [23:00, 23:15)",London,2.0,93,7.9,30.155,38.11,423.65,87.875,14.0,31,26
"2024-11-27 [23:30, 23:45)",London,1.3,93,7.9,30.155,38.11,423.65,87.875,14.0,31,26
"2024-11-27 [23:45, 00:00)",London,2.3,93,7.9,30.155,38.11,423.65,87.875,14.0,31,26
"2024-11-28 [00:00, 00:15)",London,2.3,93,6.1,31.635,42.18,408.85,69.93,23.0,31,26
"2024-11-28 [00:30, 00:45)",London,2.3,93,6.1,31.635,42.18,408.85,69.93,23.0,31,26
"2024-11-28 [00:45, 01:00)",London,2.1,93,6.1,31.635,42.18,408.85,69.93,23.0,31,26
"2024-11-28 [01:00, 01:15)",London,2.1,93,6.1,31.635,42.18,408.85,69.93,23.0,31,26
"2024-11-28 [01:15, 01:30)",London,2.3,93,6.1,31.635,42.18,408.85,69.93,23.0,31,26
"2024-11-28 [01:30, 01:45)",London,2.3,93,6.1,31.635,42.18,408.85,69.93,23.0,31,26
"2024-11-28 [02:15, 02:30)",London,0.3,93,6.1,30.525,40.7,395.9,57.72,29.0,30,26
"2024-11-28 [02:00, 02:15)",London,0.3,93,6.1,30.525,40.7,395.9,57.72,29.0,31,26
"2024-11-28 [02:30, 02:45)",London,1.1,93,6.1,30.525,40.7,395.9,57.72,29.0,30,25
"2024-11-28 [02:45, 03:00)",London,1.1,93,6.1,30.525,40.7,395.9,57.72,29.0,30,25
"2024-11-28 [03:15, 03:30)",London,1.3,93,6.1,28.86,37.555,386.65,57.165,28.0,30,25
"2024-11-28 [03:30, 03:45)",London,0.1,100,6.1,28.86,37.555,386.65,57.165,28.0,30,25
"2024-11-28 [03:45, 04:00)",London,0.1,100,6.1,28.86,37.555,386.65,57.165,28.0,30,25
"2024-11-28 [04:00, 04:15)",London,0.1,100,5.4,27.38,37.925,377.4,57.165,26.0,30,25
"2024-11-28 [04:30, 04:45)",London,0.1,100,5.4,27.38,37.925,377.4,57.165,26.0,30,25
"2024-11-28 [05:00, 05:15)",London,0.3,100,5.4,26.64,37.37,379.25,58.645,22.0,29,25
"2024-11-28 [05:15, 05:30)",London,0.0,93,5.4,26.64,37.37,379.25,58.645,22.0,29,25
"2024-11-28 [05:30, 05:45)",London,0.1,93,5.4,26.64,37.37,379.25,58.645,22.0,29,25
"2024-11-28 [05:45, 06:00)",London,0.1,93,5.4,26.64,37.37,379.25,58.645,22.0,29,25
"2024-11-28 [06:00, 06:15)",London,0.1,93,3.6,26.455,37.185,382.95,70.67,9.0,29,25
"2024-11-28 [06:15, 06:30)",London,3.3,87,3.6,26.455,37.185,382.95,70.67,9.0,29,24
"2024-11-28 [06:30, 06:45)",London,0.0,93,3.6,26.455,37.185,382.95,70.67,9.0,29,24
"2024-11-28 [06:45, 07:00)",London,0.3,93,3.6,26.455,37.185,382.95,70.67,9.0,29,24
"2024-11-28 [07:00, 07:15)",London,0.1,93,3.6,32.745,40.33,407.0,91.575,7.0,28,24
"2024-11-28 [07:15, 07:30)",London,0.0,93,3.6,32.745,40.33,407.0,91.575,7.0,28,24
"2024-11-28 [07:30, 07:45)",London,1.2,100,3.6,32.745,40.33,407.0,91.575,7.0,28,24
"2024-11-28 [07:45, 08:00)",London,1.2,100,3.6,32.745,40.33,407.0,91.575,7.0,28,24
"2024-11-28 [08:00, 08:15)",London,1.2,100,3.6,37.925,45.695,529.1,111.37,1.0,28,24
"2024-11-28 [08:15, 08:30)",London,1.2,100,3.6,37.925,45.695,529.1,111.37,1.0,28,24
"2024-11-28 [08:30, 08:45)",London,1.3,93,3.6,37.925,45.695,529.1,111.37,1.0,28,24
"2024-11-28 [08:45, 09:00)",London,1.1,93,3.6,37.925,45.695,529.1,111.37,1.0,28,24
"2024-11-28 [09:00, 09:15)",London,1.3,93,4.0,38.665,50.875,577.2,110.815,3.0,28,24
"2024-11-28 [09:15, 09:30)",London,1.2,93,4.0,38.665,50.875,577.2,110.815,3.0,29,24
"2024-11-28 [10:00, 10:15)",London,2.2,87,4.3,33.485,49.765,501.35,101.75,13.0,30,24
"2024-11-28 [13:00, 13:15)",London,7.3,81,3.6,27.935,46.25,473.6,101.75,20.0,33,18
"2024-11-28 [13:15, 13:30)",London,5.4,87,3.6,27.935,46.25,473.6,101.75,20.0,33,18
"2024-11-28 [13:30, 13:45)",London,8.0,76,3.6,27.935,46.25,473.6,101.75,20.0,32,20
"2024-11-28 [13:45, 14:00)",London,8.1,76,3.6,27.935,46.25,473.6,101.75,20.0,32,22
"2024-11-28 [14:00, 14:15)",London,6.4,81,4.7,28.675,49.58,543.9,102.305,15.0,31,22
"2024-11-28 [14:15, 14:30)",London,8.4,71,4.7,28.675,49.58,543.9,102.305,15.0,30,23
"2024-11-28 [14:30, 14:45)",London,8.3,71,4.7,28.675,49.58,543.9,102.305,15.0,30,23
"2024-11-28 [14:45, 15:00)",London,8.3,71,4.7,28.675,49.58,543.9,102.305,15.0,29,24
"2024-11-28 [15:00, 15:15)",London,8.1,71,5.4,34.41,57.72,543.9,107.67,13.0,29,24
"2024-11-28 [15:15, 15:30)",London,8.4,71,5.4,34.41,57.72,543.9,107.67,13.0,29,24
"2024-11-28 [15:30, 15:45)",London,6.2,81,5.4,34.41,57.72,543.9,107.67,13.0,28,24
"2024-11-28 [15:45, 16:00)",London,6.2,81,5.4,34.41,57.72,543.9,107.67,13.0,28,25
"2024-11-28 [16:00, 16:15)",London,6.4,81,6.5,37.0,67.155,584.6,137.64,3.0,28,25
"2024-11-28 [16:15, 16:30)",London,4.2,87,6.5,37.0,67.155,584.6,137.64,3.0,27,25
"2024-11-28 [16:30, 16:45)",London,4.4,87,6.5,37.0,67.155,584.6,137.64,3.0,27,25
"2024-11-28 [16:45, 17:00)",London,4.3,87,6.5,37.0,67.155,584.6,137.64,3.0,27,25
"2024-11-28 [17:00, 17:15)",London,4.1,87,6.5,38.665,69.745,656.75,149.85,0.0,27,26
"2024-11-28 [17:15, 17:30)",London,3.2,87,6.5,38.665,69.745,656.75,149.85,0.0,27,26
"2024-11-28 [17:30, 17:45)",London,2.0,87,6.5,38.665,69.745,656.75,149.85,0.0,27,26
"2024-11-28 [18:00, 18:15)",London,2.1,87,6.8,48.47,67.155,701.15,147.63,0.0,26,26
"2024-11-28 [18:15, 18:30)",London,1.1,93,6.8,48.47,67.155,701.15,147.63,0.0,26,26
"2024-11-28 [18:30, 18:45)",London,1.2,93,6.8,48.47,67.155,701.15,147.63,0.0,26,26
"2024-11-28 [18:45, 19:00)",London,1.2,93,6.8,48.47,67.155,701.15,147.63,0.0,26,26
"2024-11-28 [19:00, 19:15)",London,1.2,93,7.6,47.545,60.68,595.7,133.015,0.0,26,27
"2024-11-28 [19:15, 19:30)",London,3.0,87,7.6,47.545,60.68,595.7,133.015,0.0,26,27
"2024-11-28 [19:30, 19:45)",London,3.3,93,7.6,47.545,60.68,595.7,133.015,0.0,25,27
"2024-11-28 [19:45, 20:00)",London,2.1,93,7.6,47.545,60.68,595.7,133.015,0.0,25,27
"2024-11-28 [20:15, 20:30)",London,3.4,87,7.2,34.965,56.425,564.25,124.69,1.0,25,27
"2024-11-28 [20:30, 20:45)",London,1.4,93,7.2,34.965,56.425,564.25,124.69,1.0,25,27
"2024-11-28 [20:45, 21:00)",London,1.1,93,7.2,34.965,56.425,564.25,124.69,1.0,25,27
"2024-11-28 [21:00, 21:15)",London,1.4,93,7.9,33.115,51.985,536.5,120.805,1.0,25,27
"2024-11-28 [21:15, 21:30)",London,3.2,93,7.9,33.115,51.985,536.5,120.805,1.0,24,27
"2024-11-28 [21:45, 22:00)",London,1.2,93,7.9,33.115,51.985,536.5,120.805,1.0,24,27
"2024-11-28 [22:00, 22:15)",London,1.0,93,9.0,30.71,47.545,510.6,104.525,1.0,24,27
"2024-11-28 [22:15, 22:30)",London,2.2,93,9.0,30.71,47.545,510.6,104.525,1.0,24,27
"2024-11-28 [22:30, 22:45)",London,2.2,93,9.0,30.71,47.545,510.6,104.525,1.0,24,28
"2024-11-28 [22:45, 23:00)",London,2.4,93,9.0,30.71,47.545,510.6,104.525,1.0,24,27
"2024-11-28 [23:00, 23:15)",London,2.4,93,9.7,26.825,36.26,453.25,88.43,1.0,24,28
"2024-11-28 [23:15, 23:30)",London,2.3,93,9.7,26.825,36.26,453.25,88.43,1.0,24,28
"2024-11-29 [00:00, 00:15)",London,3.2,93,9.7,18.5,27.195,368.15,64.935,20.0,24,28
"2024-11-28 [23:45, 00:00)",London,1.1,100,9.4,26.825,36.26,453.25,88.43,1.0,24,28
"2024-11-29 [00:15, 00:30)",London,1.3,100,9.7,18.5,27.195,368.15,64.935,20.0,24,28
