ID,Humidity,Temperature,Timestamp,Unix_timestamp
-OC_lU34nSbLPgI654h3,34,24,2024-11-26 00:01:29,1732579289
-OC_nlWB2X-y8an0iV3Y,34,24,2024-11-26 00:11:30,1732579890
-OC_oujSI79hAZwxVqhZ,34,24,2024-11-26 00:16:31,1732580191
-OC_q38QGI6-coVzOhQV,34,24,2024-11-26 00:21:31,1732580491
-OC_rCXxdsM_Hw-PZ-Mg,34,24,2024-11-26 00:26:32,1732580792
-OC_sLvu3DUWUYEGSlEb,34,24,2024-11-26 00:31:32,1732581092
-OC_tVKDEKD-jQVhBUqB,34,24,2024-11-26 00:36:33,1732581393
-OC_udiEWwpDA_5xsBuI,34,24,2024-11-26 00:41:34,1732581694
-OC_vn6OU0yeWe-4z4Ax,34,24,2024-11-26 00:46:34,1732581994
-OC_wwU7P0HoFhNTVqAd,34,24,2024-11-26 00:51:35,1732582295
-OC_y4tmaVUmm_GDbmaC,34,24,2024-11-26 00:56:35,1732582595
-OC_zEHsJu0ybQIYT3-K,34,24,2024-11-26 01:01:36,1732582896
-OCa0X5UNLU0cwkj1XyK,34,24,2024-11-26 01:11:37,1732583497
-OCa1fTfxIygKfI22uqU,34,24,2024-11-26 01:16:38,1732583798
-OCa2orSFPWqhGGsKofM,34,24,2024-11-26 01:21:39,1732584099
-OCa3yFZqZnCKfdTnaPI,34,24,2024-11-26 01:26:39,1732584399
-OCa56e2pXQk3VYgRbSi,34,24,2024-11-26 01:31:40,1732584700
-OCa6G0Ni7uSu7vMVAPx,34,24,2024-11-26 01:36:40,1732585000
-OCa7PRADlmox7SWXY5z,35,24,2024-11-26 01:41:41,1732585301
-OCa8YpOBglnwHncjoKK,35,24,2024-11-26 01:46:42,1732585602
-OCa9hH1twkPsTDM6r4n,35,24,2024-11-26 01:51:42,1732585902
-OCaAqabFcjNpqsXamgl,35,24,2024-11-26 01:56:43,1732586203
-OCaD8OkiXvbui0DMVlx,35,24,2024-11-26 02:06:44,1732586804
